"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE6","6 anni e più","2001","2001",1.5,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE6","6 anni e più","2010","2010",1.6,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE6","6 anni e più","2022","2022",1.8,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2001","2001",0.2,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2010","2010",0.1,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2022","2022",0.3,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y20-24","20-24 anni","2001","2001",0.5,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y20-24","20-24 anni","2010","2010",0.4,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y20-24","20-24 anni","2022","2022",1,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2001","2001",0.7,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2010","2010",0.6,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2022","2022",1.1,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2001","2001",0.9,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2010","2010",0.7,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2022","2022",1.3,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2001","2001",1.3,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2010","2010",1.1,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2022","2022",1.7,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2001","2001",2.1,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2010","2010",1.5,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2022","2022",2.1,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2001","2001",2.2,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2010","2010",1.9,,
"6_NFRIEND","non ha amici","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2022","2022",2,,
