"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2001","2001",43.8,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2010","2010",42,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2022","2022",29.3,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2001","2001",32.7,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2010","2010",26.4,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2022","2022",16.2,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2001","2001",27.3,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2010","2010",24.7,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2022","2022",12.9,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2001","2001",1890,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2010","2010",2376,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",2075,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2001","2001",300,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2010","2010",231,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",83,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2001","2001",45.5,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2010","2010",38.4,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2022","2022",19.3,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE6","6 anni e più","2001","2001",36.4,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE6","6 anni e più","2010","2010",32,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE6","6 anni e più","2022","2022",18.8,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2001","2001",50.7,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2010","2010",46.8,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2022","2022",27.6,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2001","2001",39.3,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2010","2010",30.3,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2022","2022",17.6,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2001","2001",879,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2010","2010",757,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",276,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y6-13","6-13 anni","2001","2001",64.8,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y6-13","6-13 anni","2010","2010",58.1,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y6-13","6-13 anni","2022","2022",30.7,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2001","2001",23.5,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2010","2010",18.3,,
"6_WEEK_RELIG","almeno una volta a settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2022","2022",10.2,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y6-13","6-13 anni","2001","2001",2863,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y6-13","6-13 anni","2010","2010",2616,,
"6_WEEK_RELIG","almeno una volta a settimana","THV","valori in migliaia","9","totale","Y6-13","6-13 anni","2022","2022",1308,,
