"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y15-17","15-17 anni","2001","2001",34,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y15-17","15-17 anni","2002","2002",36.5,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2001","2001",696,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2002","2002",690,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2001","2001",53.5,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2002","2002",54.1,,
"3_PHYS_ACTIV","solo qualche attività fisica","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y6-10","6-10 anni","2001","2001",17.9,,
"3_PHYS_ACTIV","solo qualche attività fisica","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y6-10","6-10 anni","2002","2002",21.2,,
"3_NEV_SPORT","non praticano sport, né attività fisica","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y11-14","11-14 anni","2001","2001",16.8,,
"3_NEV_SPORT","non praticano sport, né attività fisica","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y11-14","11-14 anni","2002","2002",17.8,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","2","femmine","Y18-19","18-19 anni","2001","2001",173,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","2","femmine","Y18-19","18-19 anni","2002","2002",172,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y55-59","55-59 anni","2001","2001",9.1,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y55-59","55-59 anni","2002","2002",7.7,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2001","2001",366,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2002","2002",297,,
"3_NEV_SPORT","non praticano sport, né attività fisica","THV","valori in migliaia","1","maschi","Y45-54","45-54 anni","2001","2001",1480,,
"3_NEV_SPORT","non praticano sport, né attività fisica","THV","valori in migliaia","1","maschi","Y45-54","45-54 anni","2002","2002",1345,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2001","2001",2191,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2002","2002",2069,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","2","femmine","Y45-54","45-54 anni","2001","2001",371,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","2","femmine","Y45-54","45-54 anni","2002","2002",383,,
"3_NEV_SPORT","non praticano sport, né attività fisica","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2001","2001",1472,,
"3_NEV_SPORT","non praticano sport, né attività fisica","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2002","2002",1503,,
"3_NEV_SPORT","non praticano sport, né attività fisica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2001","2001",46.7,,
"3_NEV_SPORT","non praticano sport, né attività fisica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2002","2002",49.3,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2001","2001",2281,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2002","2002",2206,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","1","maschi","Y65-74","65-74 anni","2001","2001",107,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","1","maschi","Y65-74","65-74 anni","2002","2002",119,,
"3_SPORT_OCCAS","in modo saltuario","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2001","2001",20.3,,
"3_SPORT_OCCAS","in modo saltuario","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2002","2002",19.6,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","9","totale","Y3-5","3-5 anni","2001","2001",85,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","9","totale","Y3-5","3-5 anni","2002","2002",70,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y65-74","65-74 anni","2001","2001",3.3,,
"3_SPORT_CONT","in modo continuativo","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y65-74","65-74 anni","2002","2002",4.3,,
"3_PHYS_ACTIV","solo qualche attività fisica","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2001","2001",35.9,,
"3_PHYS_ACTIV","solo qualche attività fisica","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2002","2002",34.4,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2001","2001",98,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2002","2002",89,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","2","femmine","Y35-44","35-44 anni","2001","2001",1591,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","2","femmine","Y35-44","35-44 anni","2002","2002",1509,,
"3_PHYS_ACTIV","solo qualche attività fisica","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2001","2001",26.1,,
"3_PHYS_ACTIV","solo qualche attività fisica","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2002","2002",26.7,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2001","2001",55,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2002","2002",47,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2001","2001",1204,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2002","2002",1219,,
"3_NEV_SPORT","non praticano sport, né attività fisica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2001","2001",40.4,,
"3_NEV_SPORT","non praticano sport, né attività fisica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2002","2002",40,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2001","2001",512,,
"3_PHYS_ACTIV","solo qualche attività fisica","THV","valori in migliaia","9","totale","Y6-10","6-10 anni","2002","2002",494,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","1","maschi","Y55-59","55-59 anni","2001","2001",160,,
"3_SPORT_OCCAS","in modo saltuario","THV","valori in migliaia","1","maschi","Y55-59","55-59 anni","2002","2002",158,,
"3_SPORT_CONT","in modo continuativo","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2001","2001",426,,
