"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",712,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",1438,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",611,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",114,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",7615,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",204,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",830,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",633,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",1732,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",1726,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",323,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",434,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1829,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",446,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",78,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",136,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",1093,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",639,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",1179,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",2350,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",15351,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",180,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",395,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",302,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",2747,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",905,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",978,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",3368,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",733,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",727,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",417,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",307,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",460,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",370,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",2035,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",1746,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",543,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",13124,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",2364,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",409,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",3866,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",926,,
